"名前","ロマジ　名前","選手id","打","投","生年月日","生年"
"クルス","Rafael Cruz","12361","","R","R","5/19/1977","1977"
"グルン","Al Grunwald","14264","グルン","L","L","2/13/1930","1930"
"クレイグ","Craig Worthington","10318","クレイグ","R","R","4/17/1965","1965"
"クレイマー","Bobby Cramer","15432","クレイマー","L","L","10/28/1979","1979"
"クレス","Mike Krsnich","13927","クレス","R","R","9/24/1931","1931"
"クレスポ","Felipe Crespo","11659","クレスポ","B","R","3/5/1973","1973"
"グレン","Glenn Davis","10319","グレン","R","R","3/28/1961","1961"
"グローバー","Gary Glover","12122","グローバー","R","R","12/3/1976","1976"
"クローマー","D.T. Cromer","11645","DTクローマー","L","L","3/19/1971","1971"
"グロス","Kip Gross","10322","グロス","R","R","8/24/1964","1964"
"クロッタ","Michael Crotta","15705","クロッタ","R","R","9/25/1984","1984"
"クロフォード","Joe Crawford","11186","クロフォード","L","L","5/2/1970","1970"
"クロマティ","Warren Cromartie","24","クロマティ","L","L","9/29/1953","1953"
"ケアリー","Chuck Cary","9922","ケアリー","L","L","3/3/1960","1960"
"ゲイル","Rich Gale","9818","ゲイル","R","R","1/19/1954","1954"
"ゲインズ","Joe Gaines","13842","ゲインズ","R","R","11/22/1936","1936"
"ゲインズ","Rufus Gaines","678","ゲインズ","R","L","1/9/1921","1921"
"ケージ","Wayne Cage","9817","ケージ","L","L","11/23/1951","1951"
"ゲーリー","Gary Rajsich","9711","ゲーリー","L","L","10/28/1954","1954"
"ゲーリー","Gary Jestadt","13789","ゲーリー","R","R","3/19/1947","1947"
"ケキッチ","Mike Kekich","13904","ケキッチ","R","L","4/2/1945","1945"
"ケサダ","Alejandro Quezada","11200","ケサダ","R","R","7/9/1978","1978"
"ケッペル","Bobby Keppel","12832","ケッペル","R","R","6/11/1982","1982"
"ゲレロ","Wilfreiser Guerrero","12926","ゲレロ","R","R","10/17/1986","1986"
"コーコラン","Tim Corcoran","15553","コーコラン","R","R","4/15/1978","1978"
"コージ","Ray Cosey","9815","コージ","L","L","2/15/1956","1956"
"コーリー","Bryan Corey","11893","コーリー","R","R","10/21/1973","1973"
"コーリー","Mark Corey","9814","コーリー","R","R","11/3/1955","1955"
"コールズ","Darnell Coles","10336","コールズ","R","R","6/2/1962","1962"
"コギンス","Frank Coggins","13907","コギンス","B","R","5/22/1944","1944"
"コズロースキー","Ben Kozlowski","12473","コズロースキー","L","L","8/16/1980","1980"
"ゴセージ","Rich Gossage","9813","ゴセージ","R","R","7/5/1951","1951"
"コックス","Steve Cox","11770","コックス","L","L","10/31/1974","1974"
"コトー","Henry Cotto","10345","コトー","R","R","1/5/1961","1961"
"ゴメス","Leo Gomez","10362","ゴメズ","R","R","3/2/1966","1966"
"ゴメス","Anderson Gomes","11667","ゴメス","R","R","3/12/1985","1985"
"ゴメス","Mauro Gomez","15719","ゴメス","R","R","9/7/1984","1984"
"ゴメス","Alexis Gomez","15744","ゴメス","L","L","8/8/1978","1978"
"コリンズ","Terry Collins","15572","コリンズ","NA","NA","",""
"コロンカ","John Koronka","12564","コロンカ","L","L","7/3/1980","1980"
"ゴンザレス","Dicky Gonzalez","11891","","R","R","12/21/1978","1978"
"ゴンザレス","Luis Gonzalez","12341","ゴンザレス","R","R","6/26/1979","1979"
"ゴンザレス","Paul Gonzalez","11299","ゴンザレス","L","R","4/22/1969","1969"
"ゴンザレス","Dan Gonzales","9812","ゴンザレス","L","R","9/30/1953","1953"
"ゴンザレス","Denio Gonzalez","12914","ゴンザレス","R","R","7/22/1963","1963"
"ゴンザレス","Luis Gonzalez","13068","ゴンザレス","L","L","2/27/1983","1983"
"ゴンザレス","Tony Gonzalez","13825","ゴンザレス","L","R","8/28/1936","1936"
"ゴンザレス","Enrique Gonzalez","15413","エンリケ・ゴンザレス","R","R","7/14/1982","1982"
"コンラッド","Brooks Conrad","15441","コンラッド","B","R","1/16/1980","1980"
"サイモン","Randall Simon","12012","サイモン","L","L","5/26/1975","1975"
"ザガースキー","Mike Zagurski","15852","","L","L","1/27/1983","1983"
"サディナ","John Sardinha","14298","サディナ","R","R","12/21/1931","1931"
"サファテ","Dennis Sarfate","12938","サファテ","R","R","4/9/1981","1981"
"サブロー","Saburo Omura","10414","サブロー","R","R","6/1/1976","1976"
"サムソン","Samson Lee","11196","サムソン・リー","L","L","3/11/1971","1971"
"サラサー","Oscar Salazar","15425","オスカー・サラサー","R","R","6/27/1978","1978"
"ザラテ","Robert Zarate","13051","ザラテ","L","L","2/1/1987","1987"
"サンギルベルト"," ","14698","サンギルベルト","R","R","8/27/1973","1973"
"サンダース","Scott Sanders","11450","サンダース","R","R","3/25/1969","1969"
"サンダース","Anthony Sanders","11456","サンダース","R","R","3/2/1974","1974"
"サンタナ","Julio Santana","11784","サンタナ","R","R","1/20/1974","1974"
"サンタマリア","Juaquin Santamaria","12923","サンタマリア","R","R","9/21/1989","1989"
"サンチェ","Luis Sanchez","9810","サンチェ","R","R","9/24/1953","1953"
"サンチェス","Romulo Sanchez","13061","サンチェス","R","R","4/28/1984","1984"
"サンチェス","Gaby Sanchez","15952","","R","R","9/2/1983","1983"
"サンティアゴ","Mario Santiago","15843","","R","R","12/16/1984","1984"
"サンティアゴ・ラミレス","Santiago Ramirez","12329","ラミレス","R","R","8/15/1978","1978"
"シアーホルツ","Nate Schierholtz","15960","シアーホルツ","L","R","2/15/1984","1984"
"シアンフロッコ","Archie Cianfrocco","11279","シアンフロッコ","R","R","10/6/1966","1966"
"シークリスト","Reed Secrist","11066","シークリスト","L","R","5/7/1970","1970"
"シーツ","Andy Sheets","11765","シーツ","R","R","11/19/1971","1971"
"シーツ","Larry Sheets","209","シーツ","L","R","12/6/1959","1959"
"シーボル","Scott Seabol","12375","","R","R","5/17/1975","1975"
"シールバック","Chris Seelbach","11643","シールバック","R","R","12/18/1972","1972"
"ジェイジェイ","J.J. Furmaniak","12371","ジェイジェイ","R","R","7/31/1979","1979"
"ジェームス","Skip James","9808","ジェームス","L","L","10/21/1949","1949"
"ジェームズ","Dion James","10468","ジェームズ","L","L","11/9/1962","1962"
"シェーン","Richie Scheinblum","13903","シェーン","B","R","11/5/1942","1942"
"ジェナス","Winston Llenas","13798","ジェナス","R","R","9/23/1943","1943"
"ジェファーソン","Reggie Jefferson","11420","ジェファーソン","L","L","9/25/1968","1968"
"シェルドン","Scott Sheldon","11647","シェルドン","R","R","11/28/1968","1968"
"ジェンク","Bob Jenkins","14557","ジェンク","R","R","8/15/1934","1934"
"ジオ","Giancarlo Alvarado","12820","アルバラード","R","R","1/24/1978","1978"
"シグペン","Bobby Thigpen","10424","シグペン","R","R","7/17/1963","1963"
"シコースキー","Brian Sikorski","11642","シコースキー","R","R","7/27/1974","1974"
"シピン","John Sipin","217","シピン","R","R","8/29/1946","1946"
"ジマー","Don Zimmer","13992","ジマー","R","R","1/7/1931","1931"
"ジムタイル","Jim Gentile","13847","ジムタイル","L","L","6/3/1934","1934"
"ジャービス","Kevin Jarvis","11192","ジャービス","L","R","8/1/1969","1969"
"シャーリー","Steve Shirley","9807","シャーリー","L","L","10/12/1956","1956"
"シャウス","Brian Shouse","11201","シャウス","L","L","9/26/1968","1968"
"ジャクソン","Darrin Jackson","10446","ジャクソン","R","R","8/22/1963","1963"
"ジャクソン","Lou Jackson","13850","ジャクソン","L","R","7/26/1935","1935"
"ジャコビー","Brook Jacoby","10447","ジャコビー","R","R","11/23/1959","1959"
"ジャック","Jack Daugherty","10448","ジャック","L","L","7/3/1960","1960"
"ジャマーノ","Justin Germano","12790","ジャマーノ","R","R","8/6/1982","1982"
"ジャン","Esteban Yan","12339","ジャン","R","R","6/22/1975","1975"
"シュー","Rick Schu","10449","シュー","R","R","1/26/1962","1962"
"シュールストロム","Eric Schullstrom","11190","シュールストロム","R","R","3/25/1969","1969"
"シュルジー","Don Schulze","9906","シュルジー","R","R","9/27/1962","1962"
"シュルツ","Mike Schultz","12475","シュルツ","R","R","11/28/1979","1979"
"シュワーズ","Jeff Schwartz","10450","シュワーズ","R","R","5/20/1964","1964"
"ジョージ","George Hinshaw","9751","ジョージ","R","R","10/23/1959","1959"
"ショート","Josh Short","15307","ショート","R","R","4/1/1987","1987"
"ジョーンズ","Clarence Jones","79","ジョーンズ","L","L","11/7/1941","1941"
"ジョーンズ","Mitch Jones","12368","ジョーンズ","R","R","10/15/1977","1977"
"ジョーンズ","Jimmy Jones","10456","ジョーンズ","R","R","4/20/1964","1964"
"ジョーンズ","Bobby Jones","9805","ジョーンズ","L","L","10/11/1949","1949"
"ジョーンズ","Rupert Jones","9707","ジョーンズ","L","L","3/12/1955","1955"
"ジョーンズ","Andruw Jones","15451","ジョーンズ","R","R","4/23/1977","1977"
"ジョー古河","Yuichi Furukawa","10455","","B","R","6/17/1970","1970"
"ジョンストン","Greg Johnston","9803","ジョンストン","L","L","2/12/1955","1955"
"ジョンソン","Mike Johnson","11663","ジョンソン","L","R","10/3/1975","1975"
"ジョンソン","Davey Johnson","78","ジョンソン","R","R","1/30/1943","1943"
"ジョンソン","Jason Johnson","12334","ジョンソン　","R","R","10/27/1973","1973"
"ジョンソン","Mark Johnson","11291","ジョンソン","L","L","10/17/1967","1967"
"ジョンソン","Randy Johnson","9802","ジョンソン","R","R","6/10/1956","1956"
"ジョンソン","Dan Johnson","12779","ジョンソン","L","R","8/10/1979","1979"
"ジョンソン","Frank Johnson","13826","ジョンソン","R","R","7/22/1942","1942"
"ジョンソン","Elijah Johnson","13831","ジョンソン","R","R","12/6/1942","1942"
"ジョンソン","Stan Johnson","13844","ジョンソン","L","L","2/12/1937","1937"
"ジョンソン","Kris Johnson","15851","","L","L","10/14/1984","1984"
"ジンター","Alan Zinter","11303","ジンター","B","R","5/19/1968","1968"
"スウィーニー","Brian Sweeney","12332","スウィーニー","R","R","6/13/1974","1974"
"ズーバー","Jon Zuber","11437","ズーバー","L","L","12/8/1969","1969"
